Year,Month,location_id,crime_count,weekday,weekend,morning,afternoon,evening,night,holiday_num,num_days,morning_rate,afternoon_rate,evening_rate,night_rate,sin_month,cos_month,time_id,crime_pct_change
2023,5,4,18,9,9,4,8,5,1,1,31,0.2222222222222222,0.4444444444444444,0.2777777777777778,0.05555555555555555,0.8660254037844387,-0.4999999999999998,24281,0.19999999999999996
2023,6,4,10,8,2,3,4,3,0,1,30,0.3,0.4,0.3,0.0,0.49999999999999994,-0.8660254037844387,24282,-0.4444444444444444
2023,7,4,12,3,9,2,4,6,0,1,31,0.16666666666666666,0.3333333333333333,0.5,0.0,1.2246467991473532e-16,-1.0,24283,0.19999999999999996
2023,8,4,7,5,2,2,3,1,1,0,31,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,-0.4999999999999997,-0.8660254037844388,24284,-0.41666666666666663
2023,9,4,23,14,9,2,11,10,0,1,30,0.08695652173913043,0.4782608695652174,0.43478260869565216,0.0,-0.8660254037844385,-0.5000000000000004,24285,2.2857142857142856
2023,10,4,15,9,6,1,6,7,1,1,31,0.06666666666666667,0.4,0.4666666666666667,0.06666666666666667,-1.0,-1.8369701987210297e-16,24286,-0.34782608695652173
2023,11,4,18,14,4,3,2,13,0,2,30,0.16666666666666666,0.1111111111111111,0.7222222222222222,0.0,-0.8660254037844386,0.5000000000000001,24287,0.19999999999999996
2023,12,4,5,4,1,1,1,3,0,1,31,0.2,0.2,0.6,0.0,-0.5000000000000004,0.8660254037844384,24288,-0.7222222222222222
2018,1,5,6,6,0,3,2,1,0,2,31,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,1.0,24217,0.19999999999999996
2018,2,5,3,2,1,2,1,0,0,1,28,0.6666666666666666,0.3333333333333333,0.0,0.0,0.49999999999999994,0.8660254037844387,24218,-0.5
2018,4,5,1,1,0,1,0,0,0,0,30,1.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,24220,-0.6666666666666667
2018,5,5,3,2,1,2,1,0,0,1,31,0.6666666666666666,0.3333333333333333,0.0,0.0,0.8660254037844387,-0.4999999999999998,24221,2.0
2018,6,5,2,0,2,1,0,0,1,0,30,0.5,0.0,0.0,0.5,0.49999999999999994,-0.8660254037844387,24222,-0.33333333333333337
2018,7,5,3,2,1,0,0,0,3,0,31,0.0,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,24223,0.5
